,loss,dice_coef,jacard,recall,precision,accuracy
248,0.041733186691999435,0.9375486373901367,0.8838775753974915,0.9945484399795532,0.9606298804283142,0.9842446446418762
249,0.04300348088145256,0.9354060292243958,0.880456805229187,0.9947673678398132,0.9577124714851379,0.9832407832145691
250,0.045194875448942184,0.932238757610321,0.8746544718742371,0.993867039680481,0.955190122127533,0.9820130467414856
251,0.04327722266316414,0.9354227781295776,0.8803603053092957,0.9940863251686096,0.9615004658699036,0.9844130277633667
252,0.03974268585443497,0.9406551122665405,0.8884938955307007,0.9940202832221985,0.9624837636947632,0.9847515225410461
253,0.04889988154172897,0.9277796745300293,0.8685766458511353,0.9922106862068176,0.9557479619979858,0.9816815853118896
254,0.04411575198173523,0.9345933198928833,0.8793442845344543,0.993259847164154,0.9609211683273315,0.983930230140686
255,0.04069161415100098,0.9387454986572266,0.8859020471572876,0.9952436089515686,0.9623417258262634,0.9851003289222717
256,0.048712752759456635,0.9281648397445679,0.8707585334777832,0.9930688738822937,0.9569998979568481,0.9824240207672119
257,0.0420445017516613,0.9367207288742065,0.8822758793830872,0.9947845339775085,0.9594791531562805,0.983898401260376
258,0.05376892164349556,0.9231144189834595,0.8602763414382935,0.9845638871192932,0.9586009979248047,0.980240523815155
259,0.041092753410339355,0.9387800097465515,0.8853133916854858,0.9933761954307556,0.9618197679519653,0.9842975735664368
260,0.03925596922636032,0.9408736228942871,0.8891685605049133,0.9951783418655396,0.9621915221214294,0.9850238561630249
261,0.038207560777664185,0.9419586062431335,0.8912032842636108,0.9963856339454651,0.9625909924507141,0.9855658411979675
262,0.03970058634877205,0.9405434727668762,0.8885959386825562,0.9944764375686646,0.9641088247299194,0.9854947328567505
263,0.042532555758953094,0.9363752603530884,0.8815064430236816,0.9939457178115845,0.9624302983283997,0.9847075343132019
264,0.03930840641260147,0.9410947561264038,0.889528751373291,0.9946625232696533,0.9643778204917908,0.9856539368629456
265,0.03933318331837654,0.9409357309341431,0.8893354535102844,0.9949135780334473,0.9634794592857361,0.9854084253311157
266,0.03695818781852722,0.9439254999160767,0.8942261934280396,0.9960981011390686,0.9640207290649414,0.9859948754310608
267,0.042073868215084076,0.9377633929252625,0.8836191296577454,0.9919943809509277,0.9606598615646362,0.9834205508232117
268,0.037618108093738556,0.9431592226028442,0.8930748701095581,0.9957184195518494,0.9641133546829224,0.9859040379524231
269,0.041344691067934036,0.938727855682373,0.8854031562805176,0.9925180077552795,0.9638429284095764,0.9847550988197327
270,0.04595230147242546,0.931909441947937,0.8766789436340332,0.9940617084503174,0.9613670706748962,0.9843560457229614
271,0.04049009084701538,0.9389305114746094,0.8860807418823242,0.9951589703559875,0.9613006114959717,0.9846907258033752
272,0.037587154656648636,0.9435199499130249,0.8933886289596558,0.9947945475578308,0.9645274877548218,0.9857518672943115
273,0.038777340203523636,0.9420405626296997,0.8913545608520508,0.9946132898330688,0.9673604369163513,0.986721932888031
274,0.04263981431722641,0.9361537098884583,0.8823201060295105,0.9948766231536865,0.9644092917442322,0.9857357144355774
275,0.04024183750152588,0.9392567873001099,0.8875060081481934,0.9958989024162292,0.9612188935279846,0.9849027991294861
276,0.039466358721256256,0.9408257603645325,0.8894921541213989,0.9948146939277649,0.9646691083908081,0.9858101010322571
277,0.04166577383875847,0.9382208585739136,0.8845242261886597,0.992841362953186,0.9663079380989075,0.985757052898407
278,0.041776616126298904,0.9377301335334778,0.8845535516738892,0.993915855884552,0.9638159871101379,0.9852039217948914
279,0.0405113622546196,0.9396327137947083,0.8867948651313782,0.9932575821876526,0.9630083441734314,0.9846932888031006
280,0.035989146679639816,0.9457752108573914,0.8975042104721069,0.9955680966377258,0.9669341444969177,0.9868817925453186
281,0.035332273691892624,0.9463707804679871,0.8985980749130249,0.9963501691818237,0.9670093059539795,0.9871665835380554
282,0.039919257164001465,0.9407854080200195,0.8890621066093445,0.9928872585296631,0.9652258157730103,0.9853793978691101
283,0.042681507766246796,0.9373248815536499,0.8830137252807617,0.990972101688385,0.9648455381393433,0.9846120476722717
284,0.03896745294332504,0.9409974217414856,0.8898835182189941,0.9959059953689575,0.9629624485969543,0.985544741153717
285,0.04195660352706909,0.9369899034500122,0.883499801158905,0.9948520064353943,0.9627432227134705,0.9851189851760864
286,0.03671795874834061,0.9448493123054504,0.8959517478942871,0.9948258996009827,0.9663242697715759,0.9864159822463989
287,0.0381394624710083,0.9426490068435669,0.8926304578781128,0.9952656030654907,0.9664068818092346,0.9865906834602356
288,0.04105519503355026,0.9386650919914246,0.8863095045089722,0.9944440126419067,0.9642572999000549,0.9855382442474365
289,0.0379762165248394,0.9428346753120422,0.8927983045578003,0.9952670931816101,0.9664509892463684,0.9866072535514832
