,loss,dice_coef,jacard,recall_1,precision_1,accuracy
249,0.11084413528442383,0.9406659007072449,0.8891559839248657,0.9886879920959473,0.9745201468467712,0.9876863956451416
250,0.10421160608530045,0.9444276690483093,0.8957883715629578,0.9891596436500549,0.979612410068512,0.9895868897438049
251,0.10185419023036957,0.9459617733955383,0.8981457948684692,0.9900111556053162,0.97791987657547,0.9892836213111877
252,0.10566292703151703,0.9434579014778137,0.894336998462677,0.9908220767974854,0.9744905233383179,0.9883648157119751
253,0.10776736587285995,0.9424777030944824,0.8922325968742371,0.9871249198913574,0.9772037267684937,0.9881037473678589
254,0.10217110812664032,0.9459158778190613,0.8978288769721985,0.9896754026412964,0.9773011207580566,0.9889625310897827
255,0.10368454456329346,0.9449183344841003,0.8963153958320618,0.989571750164032,0.9772613644599915,0.9889153838157654
256,0.10338161140680313,0.9448221921920776,0.8966183662414551,0.9887129068374634,0.9792738556861877,0.9893263578414917
257,0.11049027740955353,0.9411345720291138,0.8895096778869629,0.985438346862793,0.9766404628753662,0.987365186214447
258,0.10630931705236435,0.9431374669075012,0.8936907052993774,0.989437460899353,0.9770428538322449,0.9887968897819519
259,0.10180795192718506,0.9460347890853882,0.8981921076774597,0.9909253120422363,0.9763472080230713,0.9890388250350952
260,0.10684578120708466,0.9432641267776489,0.8931541442871094,0.9875712394714355,0.9763906598091125,0.9879693388938904
261,0.09802771359682083,0.9483095407485962,0.9019724130630493,0.9891024231910706,0.9796008467674255,0.9895643591880798
262,0.11838941276073456,0.9355143308639526,0.8816105723381042,0.9873363971710205,0.9761910438537598,0.9878248572349548
263,0.11406544595956802,0.9382604360580444,0.8859345316886902,0.9886845350265503,0.9766538739204407,0.9884197115898132
264,0.09633480757474899,0.9492031335830688,0.9036651849746704,0.9915323853492737,0.9775552749633789,0.9896509647369385
265,0.11036791652441025,0.9408262968063354,0.8896321058273315,0.9878955483436584,0.9782467484474182,0.9887102842330933
266,0.1025305837392807,0.9455796480178833,0.8974694013595581,0.988777756690979,0.9798520803451538,0.9895448088645935
267,0.10612521320581436,0.9427143335342407,0.8938747644424438,0.9901708364486694,0.9763957858085632,0.9888116121292114
268,0.12003064155578613,0.9329454302787781,0.8799692988395691,0.9880513548851013,0.9690924286842346,0.9855993986129761
269,0.0981307327747345,0.9479867815971375,0.9018692970275879,0.9914080500602722,0.9777493476867676,0.9896774291992188
270,0.10319622606039047,0.9451373815536499,0.8968037366867065,0.9887862205505371,0.9786902666091919,0.9891506433486938
271,0.11784951388835907,0.9360460042953491,0.8821504712104797,0.9861456155776978,0.9776265621185303,0.9879314303398132
272,0.11118707805871964,0.9389035105705261,0.8888128995895386,0.9895122647285461,0.9751987457275391,0.9881865382194519
273,0.1101309284567833,0.9405315518379211,0.8898690342903137,0.9895763993263245,0.9758985638618469,0.9884483218193054
274,0.09959077090024948,0.947210431098938,0.9004092216491699,0.990142822265625,0.9792890548706055,0.9897953271865845
275,0.10706962645053864,0.9427654147148132,0.8929303288459778,0.9880459308624268,0.9781518578529358,0.9887265563011169
276,0.09487944841384888,0.9499062299728394,0.9051205515861511,0.9919552803039551,0.9785820245742798,0.9901406764984131
277,0.10089898109436035,0.9465062022209167,0.8991010785102844,0.9891039729118347,0.9801790714263916,0.9897622466087341
278,0.09758266806602478,0.9483424425125122,0.9024173021316528,0.9910883903503418,0.9784883856773376,0.989827573299408
279,0.09483852982521057,0.9499059915542603,0.9051614999771118,0.9909897446632385,0.9801672697067261,0.9903704524040222
280,0.09126897156238556,0.952042281627655,0.9087309837341309,0.9915385246276855,0.9806773066520691,0.9907228946685791
281,0.10656940937042236,0.942823588848114,0.8934305906295776,0.9890855550765991,0.9776085019111633,0.9888771176338196
282,0.12184052169322968,0.9328713417053223,0.8781594038009644,0.9881814122200012,0.9740713238716125,0.9873681664466858
283,0.09933523833751678,0.9472764730453491,0.9006648063659668,0.9884577393531799,0.9804420471191406,0.9896420836448669
284,0.09771387279033661,0.9480487704277039,0.902286171913147,0.9912349581718445,0.9787629246711731,0.9899692535400391
285,0.09457004070281982,0.9500945210456848,0.905430018901825,0.9913796782493591,0.980364978313446,0.9905645847320557
286,0.0982121080160141,0.9479600191116333,0.9017879366874695,0.9898101091384888,0.9800532460212708,0.9899485111236572
287,0.09489576518535614,0.9500023126602173,0.9051042795181274,0.9889451265335083,0.9807649254798889,0.989910364151001
288,0.10366122424602509,0.9444572329521179,0.8963387608528137,0.9903795719146729,0.9773046374320984,0.9891917109489441
289,0.10972869396209717,0.9413777589797974,0.8902713060379028,0.9869303703308105,0.9775518178939819,0.9881599545478821
290,0.09204506129026413,0.951461136341095,0.9079549908638,0.9904413819313049,0.9823606014251709,0.9909399747848511
291,0.10383486747741699,0.9446357488632202,0.8961651921272278,0.9887520670890808,0.9780561327934265,0.9889224767684937
292,0.10546059906482697,0.9432402849197388,0.8945393562316895,0.9892858862876892,0.9786413311958313,0.9892958402633667
293,0.09578205645084381,0.9493789672851562,0.9042178392410278,0.9902706146240234,0.9803095459938049,0.990185558795929
294,0.1114645004272461,0.9398936033248901,0.8885354995727539,0.9884059429168701,0.9773263931274414,0.9885603785514832
295,0.08872012794017792,0.9533994793891907,0.9112798571586609,0.9921548366546631,0.9812846183776855,0.9911305904388428
296,0.09472478926181793,0.9499319195747375,0.9052753448486328,0.9904225468635559,0.9812871813774109,0.9905683994293213
297,0.09313502907752991,0.9507832527160645,0.9068649411201477,0.9911713004112244,0.980266809463501,0.990463376045227
298,0.0940195620059967,0.950341522693634,0.9059804677963257,0.9900771975517273,0.9830212593078613,0.9910458922386169
299,0.09251247346401215,0.9512054324150085,0.9074875712394714,0.9926080703735352,0.9794135689735413,0.9906376004219055
300,0.10009348392486572,0.9461535215377808,0.8999064564704895,0.990534245967865,0.9806371927261353,0.9903830289840698
301,0.0867917612195015,0.9545900225639343,0.9132083058357239,0.9907863736152649,0.981827974319458,0.9908708930015564
302,0.09207907319068909,0.951448917388916,0.9079209566116333,0.9909260272979736,0.9816610217094421,0.9908594489097595
303,0.08965009450912476,0.9528349041938782,0.9103498458862305,0.9916114211082458,0.9820652008056641,0.9912201166152954
304,0.09135548770427704,0.9518738985061646,0.9086444973945618,0.9903538823127747,0.9826142191886902,0.9909976720809937
305,0.10736902058124542,0.9420934915542603,0.892630934715271,0.9887021780014038,0.9783788919448853,0.9890168309211731
